,Unnamed: 0,File,V_Neg,V_Neut,V_Pos,A_Neut,A_Pos,Laning,Shopping,Returning,Roaming,Fighting,Pushing,Defending,Dead,Misc
1916,1916,235_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1917,1917,96_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1919,1919,130_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1920,1920,213_04_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1922,1922,220_05_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1923,1923,30_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1925,1925,60_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1926,1926,203_01_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1928,1928,70_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1929,1929,72_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1930,1930,134_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1931,1931,208_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1934,1934,170_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1935,1935,22_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1936,1936,42_02_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1937,1937,78_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1941,1941,207_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1942,1942,1_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1944,1944,21_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1945,1945,196_04_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1947,1947,153_01_03.mp4,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1948,1948,60_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1949,1949,231_05_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1950,1950,68_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1951,1951,141_01_02.mp4,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1952,1952,15_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1956,1956,137_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1959,1959,126_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1962,1962,151_07_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1963,1963,203_05_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1964,1964,182_01_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1965,1965,0_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1967,1967,111_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1969,1969,206_03_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1971,1971,125_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1972,1972,160_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1975,1975,148_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1979,1979,30_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1980,1980,44_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1981,1981,69_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1982,1982,8_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1986,1986,63_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1988,1988,19_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1989,1989,190_04_02.mp4,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1990,1990,141_02_03.mp4,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1992,1992,92_06_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1993,1993,220_01_03.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1996,1996,148_06_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1998,1998,83_03_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2002,2002,32_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2003,2003,126_02_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2007,2007,0_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2008,2008,110_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2010,2010,5_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2011,2011,135_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2014,2014,219_01_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2018,2018,5_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2019,2019,171_02_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2020,2020,54_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2021,2021,134_02_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2022,2022,28_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2024,2024,63_06_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2025,2025,8_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2026,2026,51_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2027,2027,83_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2028,2028,199_04_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2031,2031,165_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2033,2033,170_01_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2036,2036,16_05_03.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2037,2037,228_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2039,2039,177_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2040,2040,22_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2041,2041,133_01_02.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2043,2043,107_01_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2044,2044,6_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2046,2046,47_02_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2050,2050,138_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2052,2052,83_04_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2053,2053,133_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2056,2056,110_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2058,2058,90_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2059,2059,188_01_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2060,2060,205_05_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2063,2063,2_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2065,2065,167_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2066,2066,27_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2068,2068,76_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2069,2069,189_07_01.mp4,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2070,2070,110_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2071,2071,24_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2072,2072,117_06_03.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2073,2073,26_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2074,2074,36_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2075,2075,123_03_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2077,2077,147_01_03.mp4,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2079,2079,61_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2080,2080,203_02_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2081,2081,70_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2082,2082,201_01_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2083,2083,101_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2084,2084,77_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2086,2086,168_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2087,2087,132_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2088,2088,214_01_02.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2089,2089,51_05_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2090,2090,112_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2093,2093,12_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2094,2094,51_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2098,2098,203_05_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2100,2100,23_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2101,2101,23_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2102,2102,216_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2103,2103,150_02_01.mp4,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2104,2104,59_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2108,2108,58_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2111,2111,222_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2113,2113,227_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2116,2116,183_04_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2117,2117,7_03_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2118,2118,169_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2119,2119,0_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2120,2120,96_03_03.mp4,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2121,2121,147_03_02.mp4,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2122,2122,156_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2123,2123,114_01_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2124,2124,164_03_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2127,2127,13_01_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2130,2130,193_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2131,2131,134_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2132,2132,2_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2134,2134,44_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2135,2135,139_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2137,2137,208_05_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2138,2138,192_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2140,2140,190_04_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2141,2141,189_03_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2142,2142,73_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2143,2143,199_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2145,2145,120_04_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2147,2147,63_07_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2148,2148,4_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2149,2149,55_04_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2150,2150,144_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2151,2151,53_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2153,2153,31_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2154,2154,208_03_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2155,2155,78_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2156,2156,46_03_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2158,2158,100_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2160,2160,64_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2161,2161,39_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2164,2164,25_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2165,2165,189_05_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2166,2166,124_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2167,2167,188_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2169,2169,63_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2171,2171,137_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2172,2172,146_06_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2174,2174,12_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2175,2175,6_02_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2178,2178,194_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2182,2182,115_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2183,2183,193_02_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2185,2185,176_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2187,2187,171_07_01.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2188,2188,16_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2189,2189,87_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2192,2192,210_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2193,2193,109_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2194,2194,83_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2195,2195,33_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2196,2196,49_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2197,2197,99_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2198,2198,117_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2199,2199,123_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2201,2201,40_07_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2202,2202,124_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2204,2204,61_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2206,2206,146_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2207,2207,92_01_03.mp4,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2209,2209,121_05_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2210,2210,183_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2211,2211,80_04_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2212,2212,153_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2215,2215,181_05_01.mp4,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2217,2217,122_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2219,2219,111_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2220,2220,206_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2221,2221,213_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2222,2222,79_01_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2223,2223,4_07_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2224,2224,76_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2225,2225,202_03_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2226,2226,141_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2227,2227,152_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2232,2232,198_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2233,2233,15_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2234,2234,114_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2236,2236,102_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2238,2238,25_05_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2239,2239,75_01_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2241,2241,148_06_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2244,2244,197_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2245,2245,172_03_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2247,2247,203_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2248,2248,168_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2250,2250,57_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2251,2251,149_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2253,2253,214_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2257,2257,153_02_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2259,2259,80_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2261,2261,94_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2262,2262,104_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2263,2263,187_04_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2264,2264,110_04_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2265,2265,53_04_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2267,2267,144_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2268,2268,124_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2269,2269,31_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2270,2270,96_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2272,2272,227_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2273,2273,117_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2274,2274,79_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2275,2275,54_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2277,2277,134_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2280,2280,88_04_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2281,2281,123_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2283,2283,219_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2284,2284,72_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2285,2285,10_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2286,2286,3_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2287,2287,70_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2290,2290,122_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2292,2292,114_03_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2293,2293,158_06_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2294,2294,124_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2295,2295,94_05_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2297,2297,16_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2299,2299,113_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2301,2301,121_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2303,2303,201_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2304,2304,212_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2306,2306,106_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2308,2308,153_07_01.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2310,2310,130_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2311,2311,11_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2313,2313,200_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2314,2314,106_01_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2315,2315,28_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2316,2316,91_02_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2317,2317,49_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2318,2318,82_03_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2320,2320,42_01_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2322,2322,183_04_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2326,2326,229_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2331,2331,36_02_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2333,2333,236_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2334,2334,178_07_01.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2335,2335,224_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2336,2336,217_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2337,2337,184_02_02.mp4,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2340,2340,47_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2342,2342,206_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2344,2344,126_03_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2345,2345,200_04_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2347,2347,1_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2349,2349,223_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2351,2351,87_03_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2352,2352,161_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2353,2353,194_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2354,2354,91_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2355,2355,226_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2356,2356,196_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2357,2357,59_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2358,2358,200_04_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2359,2359,186_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2360,2360,122_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2361,2361,77_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2362,2362,123_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2363,2363,43_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2365,2365,89_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2366,2366,13_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2368,2368,205_07_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2369,2369,116_01_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2370,2370,114_07_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2371,2371,34_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2372,2372,121_02_01.mp4,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2374,2374,26_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2376,2376,200_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2387,2387,135_01_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2388,2388,188_03_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2389,2389,182_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2390,2390,128_05_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2391,2391,153_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2394,2394,47_01_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2395,2395,135_05_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2399,2399,47_03_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2400,2400,79_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2401,2401,10_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2402,2402,136_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2403,2403,27_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2405,2405,202_04_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2406,2406,173_01_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2408,2408,230_05_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2409,2409,69_05_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2411,2411,120_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2413,2413,50_07_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2420,2420,48_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2421,2421,168_06_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2422,2422,205_03_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2424,2424,5_04_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2426,2426,38_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2427,2427,188_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2428,2428,233_04_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2429,2429,165_04_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2430,2430,141_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
